supplr_name;supplr_receptionNumber;supplr_formID;supplr_agreementNumber;supplr_qualityCertificationNumber;supplr_specificInstructions;supplr_siret ;supplr_website;supplr_activity;supplr_VATNumber ;supplr_endLinkToFolder;Number of address;Number of contact;supplr_real;supplr_critical
ENGRENAGES HPC;+33 (0)4 37 49 64 96 ;S099;/;/;/;38291190700030;/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR41382911907;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\HPC-S099;1;1;yes;no
ALBATROZ CONSULTING MEDITEC;+49 (0)2224 986 8031;S100;/;/;/;/;https://albatroz.eu/;/;/;/;1;1;yes;no
CARLROTH;+33 (0)3 88 94 82 42;S101;/;/;/;/;https://www.carlroth.com/fr/fr/?em_src=kw&em_cmp=Bing/FR-Brand-Brand&msclkid=afa2212ad6f31ad03315455f6b6847e0;/;/;/;1;1;yes;no
MATECHPLAST;+33 (0)2 41 55 58 84;S102;/;ISO 13485:2016;/;45113723600019;https://www.matechplast.com/;"
Fabrication de pièces techniques à base de matières plastiques (2229A)";FR14451137236;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MATECHPLAST -S102;1;1;yes;no
IGUS;+33 (0)1 85 16 03 22;S103;/;/;/;42887278200035;https://www.igus.fr/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR76428872782;/;1;1;yes;no
DISTRIMED;+33 (0)4 94 23 30 20 ;S104;/;/;/;35200455000047;https://www.distrimed.com/;Vente à distance sur catalogue spécialisé (4791B);FR76352004550;/;1;1;yes;no
CHANGZHOU BEISHUO MEDICAL TECHNOLOGY DEVELOPMENT;86-186-1297-2340;S105;/;/;/;/;/;/;/;/;1;1;yes;no
EMITECH CHASSIEU;+33 (0)4 78 40 66 55;S106;/;/;/;34454564500121;https://www.emitech.fr/fr/groupe/Lyon;Ingénierie, études techniques (7112B);/;/;1;1;yes;no
AXA;+33 (0)1  55 92 41  50 ;S107;/;/;/;45139272400022;https://www.axa.fr/;Autres assurances (6512Z);FR81451392724;/;1;1;yes;no
JIAXING JINGRUI INSTRUMENT & EQUIPMENT;86-573-8232-6081;S108;/;/;/;/;/;/;/;/;1;1;yes;no
ORANGE;/;S109;/;/;/;38012986648625;https://boutique.orange.fr/?gclid=a5b05b6108db197819203f19796e5567&gclsrc=3p.ds&msclkid=a5b05b6108db197819203f19796e5567;Télécommunications filaires (6110Z);FR89380129866;/;0;0;no;no
PROLIANS;03 81 80 54 37;S110;/;/;/;56282133000320;https://www.prolians.fr/;Commerce de gros (commerce interentreprises) de quincaillerie (4674A);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\PROLIANS S110;0;0;no;no
RBS;/;S111;/;/;/;/;/;/;/;/;0;0;no;no
TELEFLEX;01 45 12 84 84;S112;/;ISO 13485:2016 Exp: 2021-07-14;/;34747988300030;https://www.teleflexurology.fr/produits/gestion-des-troubles-vesicaux/sondes-pour-sondage-intermittent/liquick-x-treme/?mtm_campaign=BingAd&mtm_kwd=LiquickX-treme&mtm_source=BingAd&mtm_medium=BingAd&utm_source=bing&utm_medium=cpc&utm_campaign=FR_Liquick%20X-treme&utm_term=Teleflex&utm_content=Liquick%20X-TREME;Commerce de gros (commerce interentreprises) de produits pharmaceutiques (4646Z);FR61347479883;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\TELEFLEX - S112;0;0;no;no
TME;/;S113;/;/;/;33005418000022;/;Fabrication de cartes électroniques assemblées (2612Z);FR35330054180;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\TME - S113;0;0;no;no
VELLEMAN;/;S114;/;/;/;90427494100015;https://www.velleman.eu/;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\Velleman S114;0;0;no;no
MEYER GAGE COMPANY;+1 860-528-6526;S115;/;/;/;/;https://www.meyergage.com/contact-us/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MEYER GAGE COMPANY - S115;0;0;no;no
APOTECA;/;S116;/;/;/;/;/;/;/;/;0;0;no;no
CASTORAMA;/;S117;/;/;/;45167897300012;https://www.castorama.fr/;Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (4752B);FR87451678973;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\CASTORAMA-S117;0;0;no;no
CERTEO;05 39 62 41 63;S118;/;/;/;53962416300017;https://www.certeo.fr/;Vente à distance sur catalogue spécialisé (4791B);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\CERTEO -S118;0;0;no;no
DEXIS;01 30 29 46 46;S119;/;/;/;43470793100011;dexis.fr;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR30434707931;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\DEXIS-S119;0;0;no;no
JPG;01 34 47 48 00;S120;/;/;/;99750640700037;https://www.jpg.fr/;Commerce de gros (commerce interentreprises) d\'autres biens domestiques (4649Z);FR72997506407;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\JPG - S120;0;0;no;no
MANTION;+33 (0) 3 81 53 29 76;S121;/;ISO 9001 : 2008;/;58282182300025;https://www.mantion.com/;Fabrication de serrures et de ferrures (2572Z);FR32582821823;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MANTION - S121;0;0;no;no
MONDIAL EXTINCTEUR;/;S122;/;/;/;81441821600028;MondialExtincteur.fr;Vente à distance sur catalogue spécialisé (4791B);FR36814418216;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MONDIAL EXTINCTEUR - S122;0;0;no;no
MOLY CHINA;+86 379 64687113;S123;/;/;/;/;https://www.moly-china.com/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MOLY CHINA S123;0;0;no;no
ELIS;/;S124;/;/;/;69300109100091;https://fr.elis.com/fr;Autres activités de soutien aux entreprises n.c.a. (8299Z);FR54693001091;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ELIS - S124;0;0;no;no
FOUSSIER;02 50 82 18 21;S125;/;/;/;32968134000173;www.foussier.fr;Commerce de gros (commerce interentreprises) de quincaillerie (4674A);FR22329681340;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FOUSSIER - S125;0;0;no;no
GROSSERON; (33) 02 40 92 07 09;S126;/;/;/;53875551300024;https://www.grosseron.com/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR74538755513;/;0;0;no;no
HENKEL LOCTITE;/;S127;/;ISO 13485 : 2016 Exp: 2024-06-19;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\HENKEL LOCTITE - S127;0;0;no;no
JR READY ZHEJIANG CHINE;/;S128;/;/;/;/;http://jrready.com/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\JR Ready ZHEJIANG Chine - S128;0;0;no;no
MASQUE;01 84 80 95 59;S129;/;/;/;89962226000011;https://www.france-masque.fr/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR96899622260;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MASQUES - S129;0;0;no;no
MBO;/;S130;/;/;/;39372518900038;/;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A);FR80393725189;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MBO - S130;0;0;no;no
FG CLEAN WIPES;+1 413-598-8344;S131;/;/;/;/;https://saturix.com/;/;/;/;0;0;no;no
ENSINGER GMBH;/;S132;/;/;/;/;/;/;/;/;0;0;no;no
ACNIS;/;S133;/;/;/;38098854300043;https://www.acnis-titanium.com;Commerce de gros (commerce interentreprises) de minerais et métaux (4672Z);FR91380988543;/;0;0;no;no
3M;/;S134;/;/;/;54207855500662;/;Fabrication de produits de consommation courante en matières plastiques (2229B);FR25542078555;/;0;0;no;no
MCAM;/;S135;/;/;/;42991570500017;https://www.mcam.com/;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé (4776Z);FR13429915705;/;0;0;no;no
NORDSON MEDICAL;(970) 267-5200;S136;/;/;/;71203529400081;https://www.nordsonmedical.com/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR24712035294;/;0;0;no;no
YOKOWO;/;S137;/;/;/;50935693700011;https://www.yokowo.co.jp/english/;Commerce de gros d\'équipements automobiles (4531Z);/;/;0;0;no;no
COMELEC;01 56 70 44 88;S138;/;/;/;50750077500048;https://scscoatings.com/?msclkid=14dfaffb200f104787e0cb8dd37c5cc6&utm_source=bing&utm_medium=cpc&utm_campaign=Comelec&utm_term=comelec&utm_content=Comelec;Conseil pour les affaires et autres conseils de gestion (7022Z);FR37507500775;/;0;0;no;no
FRANCHE COMTE DISTRIBUTION;03 84 79 28 89;S139;/;/;/;40978821300026;/;Autres intermédiaires du commerce en produits divers (4619B);FR37409788213;/;0;0;no;no
EPOTEK;+1 978 667 3805;S140;/;/;/;/;https://www.epotek.com/;/;/;/;0;0;no;no
DDLG;/;S141;/;/;/;73282123600013;https://www.ddlg-decolletage.com/;Décolletage (2562A);FR42732821236;/;0;0;no;no
COATES SCREEN;/;S142;/;/;/;84323085500036;https://www.coates.de/index.php?lang=en;Conseil pour les affaires et autres conseils de gestion (7022Z);FR89843230855;/;0;0;no;no
AMANN GROUP;01 45 17 08 88;S143;/;/;/;48296263600031;https://www.amann.com/fr/;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);FR84482962636;/;0;0;no;no
BASF;/;S144;/;/;/;54206915800518;https://fr.rs-online.com/web/c/informatique-et-peripheriques/impression-et-numerisation-3d/materiaux-pour-impression-3d/?applied-dimensions=4289884250;Commerce de gros (commerce interentreprises) de produits chimiques (4675Z);FR61542069158;/;0;0;no;no
POLYPLASTICS;/;S145;/;/;/;/;https://www.polyplastics.com/en/;/;/;/;0;0;no;no
BLESS;/;S146;/;/;/;90820192400010;/;Transports de voyageurs par taxis (4932Z);/;/;0;0;no;no
TUMA;/;S147;/;/;/;/;/;/;/;/;0;0;no;no
BEAUSEIGNEUR;03 84 36 41 36;S148;/;/;/;53572034600027;https://www.beauseigneur.com/fr/;Commerce de gros (commerce interentreprises) de produits chimiques (4675Z);FR60535720346;/;0;0;no;no
ALFAAESAR;/;S149;/;/;/;87773764300024;https://www.alfa.com/fr/;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);/;/;0;0;no;no
MERCK;01 43 94 54 00;S150;/;/;/;57202803300064;/;Fabrication de préparations pharmaceutiques (2120Z);FR75572028033;/;0;0;no;no
SIGMA ALDRICH;0 800 21 14 08;S151;/;/;/;34027592400017;https://www.sigmaaldrich.com/FR/fr;Commerce de gros (commerce interentreprises) de produits chimiques (4675Z);FR75340275924;/;0;0;no;no
VOUSSERT;/;S152;/;/;/;32153966000092;https://www.voussert.fr/?msclkid=13bf10fd1f48101a8a1a748be0d2d0fb&utm_source=bing&utm_medium=cpc&utm_campaign=OL%20-%20M.%20voussert&utm_term=voussert%20fr&utm_content=voussert;Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d\'entretien (4644Z);FR67321539660;/;0;0;no;no
BRESSERT;/;S153;/;/;/;/;https://fr.tradingview.com/scripts/bressert/;/;/;/;0;0;no;no
ZEUS;/;S154;/;/;/;81191600600026;/;Autres intermédiaires du commerce en produits divers (4619B);FR42811916006;/;0;0;no;no
TBD;04 42 04 52 29;S155;/;/;/;84425860800018;/;Autres activités informatiques (6209Z);FR09844258608;/;0;0;no;no
1 ATTACK;/;S156;/;/;/;85187082400014;/;Autres organisations fonctionnant par adhésion volontaire (9499Z);/;/;0;0;no;no
123 CONSOMMABLES;/;S157;/;/;/;/;https://www.123consommables.com/;/;/;/;0;0;no;no
123 MAGNET;/;S158;/;/;/;51432983800023;https://www.123-magnet.com/cat-magnet-publicitaire-308.htm?msclkid=3e24f145a732126aae389532a5e1b283;Commerce de détail de journaux et papeterie en magasin spécialisé (4762Z);/;/;0;0;no;no
123 ELEC;0 820 20 61 13;S159;/;/;/;/;https://www.123elec.com/?msclkid=677c84f76a8d1663f5ace0806997b2af&utm_source=bing&utm_medium=cpc&utm_campaign=ASUC%20-%20Brand%20pure%20(123elec)%20-%20Expression&utm_term=123%20elec&utm_content=Brand%20Pure%20-%20Expression;/;/;/;0;0;no;no
ACTION;/;S160;/;/;/;75330823804860;https://www.action.com/fr-fr/;Autres commerces de détail en magasin non spécialisé (4719B);FR05753308238;/;0;0;no;no
APETIZ;/;S161;/;/;/;82274114600010;/;Restauration de type rapide (5610C);FR56822741146;/;0;0;no;no
ASSOCIATION REGIE URGAINE;/;S162;/;/;/;40262787100054;https://www.aru-angouleme.fr/;Action sociale sans hébergement n.c.a. (8899B);FR49402627871;/;0;0;no;no
BACK MARKET;/;S163;/;/;/;80404947600091;https://www.backmarket.fr/fr-fr/?msclkid=e545873c501b16d74475e34b55510a8b&utm_source=bing&utm_medium=cpc&utm_campaign=FR_SA_SEARCH_M_BRA_Backmarket&utm_term=blackmarket&utm_content=Blackmarket%20%28exact%29;Programmation informatique (6201Z);/;/;0;0;no;no
BATTERY EMPIRE;+33 9 775 58979;S164;/;/;/;/;https://batteryempire.fr/;/;/;/;0;0;no;no
BAZARLAND;/;S165;/;/;/;83895613400012;https://www.bazarland.fr/;Commerce de détail d\'autres équipements du foyer (4759B);/;/;0;0;no;no
BD MOBILIER;03 62 23 82 60;S166;/;/;/;80787160300013;https://www.bd-mobilier.com/?msclkid=23f9eebe0ed41dc9a16a8ac9081e32b6&utm_source=bing&utm_medium=cpc&utm_campaign=Marques%20-%20FR&utm_term=bd%20mobilier&utm_content=BD%20Mobilier%20Exact;Commerce de gros (commerce interentreprises) de mobilier de bureau (4665Z);FR78807871603;/;0;0;no;no
BIMPLI;/;S167;/;/;/;83367241300022;https://www.bimpli.com/;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a. (6619B);FR00833672413;/;0;0;no;no
BOULANGER;/;S168;/;/;/;34738457002017;https://www.boulanger.com/?at_medium=comparateurs&at_campaign=Shopzilla&cnxclid=16855224187993745408710090302008005;Commerce de détail d\'appareils électroménagers en magasin spécialisé (4754Z);FR78347384570;/;0;0;no;no
BRICO DEPOT;/;S169;/;/;/;45164790300017;https://www.bricodepot.fr/catalogue/depot/ballainvilliers/1953/;Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (4752B);FR94451647903;/;0;0;no;no
BRICOZOR;/;S170;/;/;/;51858062600035;https://www.bricozor.com/?msclkid=6a9e709b8a2d1b67ee8414ec8256d074&utm_source=bing&utm_medium=cpc&utm_campaign=Notori%C3%A9t%C3%A9%20-%20Bricozor&utm_term=www%20bricozor%20com&utm_content=Bricozor%20-%20Notori%C3%A9t%C3%A9;Vente à distance sur catalogue spécialisé (4791B);/;/;0;0;no;no
BULTE;/;S171;/;/;/;33977013300033;https://www.bulte.com/;Fabrication de produits de consommation courante en matières plastiques (2229B);FR73339770133;/;0;0;no;no
CABLEMATIC;+34 934 98 71 13;S172;/;/;/;/;https://cablematic.com/fr/;/;/;/;0;0;no;no
CAINIAO;/;S173;/;/;/;89951667800039;https://www.ship24.com/fr/transporteurs/cainiao-suivi-colis;Affrètement et organisation des transports (5229B);FR55899516678;/;0;0;no;no
CARREFOUR;/;S174;/;/;/;45132133500023;https://www.carrefour.fr/;Hypermarchés (4711F);FR90451321335;/;0;0;no;no
CASINO;/;S175;/;/;/;42826802337699;https://magasins.geantcasino.fr/;Hypermarchés (4711F);FR87428268023;/;0;0;no;no
COMAFRANC;/;S176;/;/;/;79515817900015;https://www.comafranc.fr/;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A);FR12795158179;/;0;0;no;no
CONFORAMA;/;S177;/;/;/;41481940900023;https://www.conforama.fr/?wiz_medium=search_marque&wiz_source=bing&wiz_campaign=fr__brand__rlsa__txt________obj1__cpc__audall__conforama&wiz_content=__conforama__site&wiz_term=conforama%20fr&xtor=SEC&gclid=e00899eab9e61b0a54dcfd9da8b2bd97&gclsrc=3p.ds&msclkid=e00899eab9e61b0a54dcfd9da8b2bd97&utm_source=bing&utm_medium=cpc&utm_campaign=fr__brand__rlsa__txt________obj1__cpc__audall__conforama&utm_term=conforama%20fr&utm_content=__conforama__site;Commerce de détail de meubles (4759A);FR37414819409;/;0;0;no;no
CONRAD; 0 892 895 555;S178;/;/;/;35008263200059;https://www.conrad.fr/?msclkid=61dcd79bdc191b4bcce0b3eccd8e1234&utm_source=bing&utm_medium=cpc&utm_campaign=ASUC%20-%20Conrad%20-%20Marque&utm_term=conrad%20pro&utm_content=Conrad%20-%20Pro;Commerce de gros (commerce interentreprises) de composants et d\'équipements électroniques et de télécommunication (4652Z);FR02350082632;/;0;0;no;no
COOPERATION PHARMACEUTIQUE FRANCAISE;01 64 87 20 00;S179;/;/;/;39922763600020;https://www.cooper.fr/;Fabrication de préparations pharmaceutiques (2120Z);FR58399227636;/;0;0;no;no
DARTY;/;S180;/;/;/;54208661601736;https://www.darty.com/?dartycid=sea_bing_marque_Bing-Darty-Marque_adgroup_Top-Darty&esl-k=sem-msn%7cno%7cc%7cme%7ckdarty%7cp%7ct%7cdc%7ca1198467825564264%7cg325145031&&msclkid=5ef0457d4c351aeed792210a5eacdb25&gclid=5ef0457d4c351aeed792210a5eacdb25&gclsrc=3p.ds;Centrales d\'achat non alimentaires (4619A);FR55542086616;/;0;0;no;no
DIGI KEY ELECTRONICS;/;S181;/;/;/;/;https://www.digikey.fr/?utm_adgroup=General&utm_source=bing&utm_medium=cpc&utm_campaign=FR_Brand_Digi-Key&utm_term=digi%20key&utm_content=General&utm_id=bi_cmp-26147188_adg-1623239402_ad-81638761350889_kwd-81638930665107:aud-807631157:loc-66_dev-c_ext-_prd-&productid=&msclkid=388ef4ad2987112b8dfb90da3b478ded;/;/;/;0;0;no;no
DIRECT SIEGE; 04 73 28 76 72;S182;/;/;/;/;https://www.direct-siege.com/;/;/;/;0;0;no;no
DISTRELEC;/;S183;/;/;/;79929462400017;https://www.distrelec.fr/fr/;Autres commerces de détail spécialisés divers (4778C);FR40799294624;/;0;0;no;no
DOMOMAT;/;S184;/;/;/;79301983700046;https://www.domomat.com/;Autres commerces de détail en magasin non spécialisé (4719B);FR81793019837;/;0;0;no;no
DSXUV;/;S185;/;/;/;48829897700031;/;Conseil en systèmes et logiciels informatiques (6202A);FR33488298977;/;0;0;no;no
EBAY;/;S186;/;/;/;43277810800030;https://www.ebay.fr/;Conseil pour les affaires et autres conseils de gestion (7022Z);FR06432778108;/;0;0;no;no
ELEC44;/;S187;/;/;/;79929192700017;https://elec44.fr/?msclkid=b20af144e56616d521449533f20d7901&utm_source=bing&utm_medium=cpc&utm_campaign=Search%20-%20Nom%20de%20marque&utm_term=elec44&utm_content=Search-Elec44;Vente à distance sur catalogue général (4791A);FR00799291927;/;0;0;no;no
ELECTRO DEPOT;/;S188;/;/;/;43374453900423;https://www.electrodepot.fr/?msclkid=e09fe2de55e115435cf686a94db22f31&utm_source=bing&utm_medium=cpc&utm_campaign=Search_Brand__Perf_ever_cpc%20optis&utm_term=%C3%A9lectro%20d%C3%A9p%C3%B4t&utm_content=Brand%20g%C3%A9n%C3%A9rique;Commerce de détail d\'appareils électroménagers en magasin spécialisé (4754Z);FR66433744539;/;0;0;no;no
ELITECH;/;S189;/;/;/;45325003700059;https://www.elitechlog.com/;Commerce de gros (commerce interentreprises) de produits pharmaceutiques (4646Z);FR49453250037;/;0;0;no;no
EMG;/;S190;/;/;/;39220545600057;/;Commerce de gros (commerce interentreprises) de composants et d\'équipements électroniques et de télécommunication (4652Z);FR75392205456;/;0;0;no;no
ESPACE EQUIPEMENT;03 66 72 49 69;S191;/;/;/;80787129800012;https://www.espace-equipement.com/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR36807871298;/;0;0;no;no
ESSENTRA;/;S192;/;/;/;51910798100044;https://www.essentracomponents.com/fr-fr?matchtype=p&accountregion=FR&msclkid=da02015a6b461f665a2e652d709f5948&utm_source=bing&utm_medium=cpc&utm_campaign=Brand%20%5BSearch%5D&utm_term=essentra&utm_content=Brand%20-%20Essentra%20%5BBMM%5D;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR13519107981;/;0;0;no;no
FACILEMBAL;04 90 16 94 25;S193;/;/;/;79159365000025;https://facilembal.site-solocal.com/;Vente à distance sur catalogue spécialisé (4791B);FR93791593650;/;0;0;no;no
FARNELL;/;S194;/;/;/;38824502900086;https://fr.farnell.com/?CMP=KNC-MFR-PFB_1212-13-Sep-2022-ImprShare&mckv=sS7kRlOIA_dc|pcrid||kword|%2Bfarnell|match|p|plid||slid||product||pgrid|1195169200809045|ptaid|kwd-74698115166441:loc-66|&msclkid=a226803dbcb71c620641e44aa079a161;Commerce de gros (commerce interentreprises) de composants et d\'équipements électroniques et de télécommunication (4652Z);FR33388245029;/;0;0;no;no
FRANCE ELECTRIC;/;S195;/;/;/;42110670900668;https://www.france-electric.com/;Fabrication de matériel de distribution et de commande électrique (2712Z);FR93421106709;/;0;0;no;no
GALVAREX;/;S196;/;/;/;/;/;/;/;/;0;0;no;no
GHANGZOU TONHUI ELECTRONIC COMPANY LIMITED;/;S197;/;/;/;91824029200014;/;Vente à distance sur catalogue général (4791A);/;/;0;0;no;no
GIFI;/;S198;/;/;/;34741001100063;https://www.gifi.fr/;Activités des agences de publicité (7311Z);FR62347410011;/;0;0;no;no
GO TRONIC;03 24 27 93 42;S199;/;/;/;43830668000028;https://www.gotronic.fr/;Commerce de détail d\'autres équipements du foyer (4759B);FR80438306680;/;0;0;no;no
GRAND BESANCON;/;S200;/;/;/;24250036100017;https://www.grandbesancon.fr/;Administration publique générale (8411Z);FR28242500361;/;0;0;no;no
GREEN CELL;/;S201;/;/;/;43302763800025;https://greencell.global/fr/;Fabrication d\'autres produits alimentaires n.c.a. (1089Z);/;/;0;0;no;no
GSD AUTOMATISME;/;S202;/;/;/;/;https://www.gsd-automatisme.com/;/;/;/;0;0;no;no
HELENE GOUILLARDON;/;S203;/;/;/;52935375700014;/;Conseil pour les affaires et autres conseils de gestion (7022Z);/;/;0;0;no;no
IKEA;/;S204;/;/;/;35174572400200;https://www.ikea.com/fr/fr/;Commerce de détail de meubles (4759A);FR83351745724;/;0;0;no;no
IMPRIM ENCRE;/;S205;/;/;/;38788022200022;https://www.imprim-encre.com/?msclkid=2d3c75bb01c414928c9311cc2139f1a3;Autre imprimerie (labeur) (222C);FR63387880222;/;0;0;no;no
JIM ELECTRICITE;/;S206;/;/;/;48311668700045;https://www.ebay.fr/str/jimselectricite;Travaux d\'installation électrique dans tous locaux (4321A);FR32483116687;/;0;0;no;no
JONHSON MATTHEY;01 48 17 21 63;S207;/;/;/;44441518600014;https://matthey.com/;Commerce de gros (commerce interentreprises) de produits chimiques (4675Z);/;/;0;0;no;no
KLAUS MAKAROWSKI;/;S208;/;/;/;/;https://www.makarowski-beschlaege.de/;/;/;/;0;0;no;no
KLC;/;S209;/;/;/;/;/;/;/;/;0;0;no;no
LA MAISON ELECTRIQUE;0 887 99 04 48;S210;/;/;/;88799044800011;https://www.la-maison-electrique.com/;Travaux d\'installation électrique dans tous locaux (4321A);FR22887990448;/;0;0;no;no
LA SCIERIE;02 51 68 73 06;S211;/;/;/;48698023800019;http://www.boutolleau.com/;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A);FR58486980238;/;0;0;no;no
LEPROMEDICAL;/;S212;/;/;/;31984345400053;https://leprodumedical.com/;Commerce de gros (commerce interentreprises) de produits pharmaceutiques (4646Z);/;/;0;0;no;no
HENCKEL LOCTITE;/;S213;/;/;/;/;/;/;/;/;0;0;no;no
MABEO;/;S214;/;/;/;33256495400276;https://www.mabeo-direct.com/D-579695-nos-agences;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR16332564954;/;0;0;no;no
MAISON DU CABLE;/;S215;/;/;/;80452288600022;https://www.maison-du-cable.com/?utm_content=maison%20du%20cable%20societe.com&msclkid=c79cf99db7c71cdb5d959de5f18591d9&utm_source=bing&utm_medium=cpc&utm_campaign=1.%20Texte%20%3A%20Branding&utm_term=maison%20du%20cable;Travaux d\'installation électrique dans tous locaux (4321A);FR23804522886;/;0;0;no;no
MANOMANO;/;S216;/;/;/;75297993000043;https://www.manomano.fr/?referer_id=696766&msclkid=771f98f70f431b70e1a7fc8f48ff8fb3&utm_source=bing&utm_medium=cpc&utm_campaign=SEM%20Bing_CPC_FR_GEN_Search_Mix%20Brand&utm_term=manomano&utm_content=G%C3%A9n%C3%A9rique;Portails internet (6312Z);FR19752979930;/;0;0;no;no
MATERIELS ELECTRIQUES;/;S217;/;/;/;30220820200036;https://materiels-electriques.fr/;Commerce de gros (commerce interentreprises) de matériel électrique (4669A);FR53302208202;/;0;0;no;no
MAXICOFFEE;/;S218;/;/;/;/;https://www.maxicoffee.com/;/;/;/;0;0;no;no
MBA;/;S219;/;/;/;40984547600061;/;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);FR39409845476;/;0;0;no;no
MDC;/;S220;/;/;/;/;/;/;/;/;0;0;no;no
MON HABITAT ELECTRIQUE;05 81 43 20 02;S221;/;/;/;92044895800016;https://www.mon-habitat-electrique.fr/;Travaux d\'installation électrique dans tous locaux (4321A);/;/;0;0;no;no
MR SOLEYMANI;/;S222;/;/;/;45198234200011;/;Activités d\'architecture (7111Z);FR43451982342;/;0;0;no;no
NELINKIA;/;S223;/;/;/;81422842500025;https://www.nelinkia.com/;Vente à distance sur catalogue général (4791A);FR53814228425;/;0;0;no;no
NORMA;/;S224;/;/;/;35273941100986;/;Supermarchés (4711D);/;/;0;0;no;no
OPEN OFFICE;/;S225;/;/;/;88070069500013;https://www.openoffice.org/fr;Conseil pour les affaires et autres conseils de gestion (7022Z);FR92880700695;/;0;0;no;no
PAILLARD;/;S226;/;/;/;80470140700012;/;Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z);FR49804701407;/;0;0;no;no
PHARMACIE CHEVAL;/;S227;/;/;/;/;/;/;/;/;0;0;no;no
PHARMACIE TILLEROYES;03 81 50 07 00;S228;/;/;/;82877407500018;www.pharmacielafayette.com;Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z);FR01828774075;/;0;0;no;no
PHARMACIE MULIN;03.81.58.86.36;S229;/;/;/;44769965300013;https://www.pharmanity.com/pharmacie/pharmacie-mulin-auxon-dessous-ph2544;Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z);FR14447699653;/;0;0;no;no
PHARMACIE RICHARD;03 84 24 00 52;S230;/;/;/;48137506100019;/;Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z);FR59481375061;/;0;0;no;no
PHARMACIE VALENTIN;03 81 80 96 66;S231;/;/;/;51382282500016;https://pharmacievalentincheval.pharmavie.fr/;Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z);FR68513822825;/;0;0;no;no
PHYSIOHM;/;S232;/;/;/;82327676100017;/;Travaux d\'installation électrique dans tous locaux (4321A);/;/;0;0;no;no
PILZ;/;S233;/;/;/;69850333100119;https://www.pilz.com/fr-FR;Commerce de gros (commerce interentreprises) de composants et d\'équipements électroniques et de télécommunication (4652Z);FR90698503331;/;0;0;no;no
